,datadate,turbulence
1285,20170421,25.168181480058898
1286,20170424,23.738706845623526
1287,20170425,23.511395874120296
1288,20170426,22.820405791288334
1289,20170427,22.54127730189027
1290,20170428,19.108228641981633
1291,20170502,18.10729850312613
1292,20170503,19.771004885581725
1293,20170504,20.097021939767096
1294,20170505,19.49055176557897
1295,20170508,19.474398018527207
1296,20170509,17.143679280788934
1297,20170510,17.240848631469913
1298,20170511,16.771712335868756
1299,20170512,14.631904547130931
1300,20170515,14.16824137443498
1301,20170516,16.169553652392445
1302,20170517,15.592347616008198
1303,20170518,17.004124241489883
1304,20170519,17.064096686551558
1305,20170522,17.4702716677781
1306,20170523,19.01810308805863
1307,20170524,17.97814771750023
1308,20170525,26.943801098410397
1309,20170526,22.08793383776701
1310,20170531,19.27021798319781
1311,20170601,20.354504053821124
1312,20170602,18.20325898500313
1313,20170605,18.082324786855956
1314,20170606,19.237021266836386
1315,20170607,19.394635908931086
1316,20170608,22.98620486073597
1317,20170609,23.970328498975537
1318,20170612,26.473747257309014
1319,20170613,29.03240150312204
1320,20170614,23.2495083435028
1321,20170615,23.014103607231426
1322,20170616,18.896345991316878
1323,20170619,19.741953764673905
1324,20170620,16.58857849513227
1325,20170621,19.99065302483485
1326,20170622,26.868052719674584
1327,20170623,28.47158434425179
1328,20170626,30.857693542009073
1329,20170627,45.51809977114487
1330,20170628,38.47978054100942
1331,20170629,41.138758363664195
1332,20170630,37.406314257796055
1333,20170703,32.85817484671809
1334,20170704,29.092701038724307
1335,20170705,37.59786883955029
1336,20170706,43.3905606623284
1337,20170707,36.4715676916771
1338,20170710,30.561940233830423
1339,20170711,35.87284560668054
1340,20170712,36.23179088302487
1341,20170713,37.64797321717404
1342,20170714,42.13304081857873
1343,20170717,36.45477466823645
1344,20170718,28.210650008874904
1345,20170719,33.421146954020216
1346,20170720,32.1554509082196
1347,20170721,30.159751459299947
1348,20170724,34.39799853978804
1349,20170725,31.992810613617692
1350,20170726,31.725236075018042
1351,20170727,32.855013411489686
1352,20170728,31.690636602818735
1353,20170731,30.701772925795602
1354,20170801,34.15947394899392
1355,20170802,38.804748723147455
1356,20170803,32.08290060877242
1357,20170804,28.654590127740708
1358,20170807,29.12089537346811
1359,20170808,29.070990148425246
1360,20170809,22.331940061459523
1361,20170810,23.464892661154316
1362,20170811,19.37628269095378
1363,20170814,18.46084808725763
1364,20170815,17.88236221270732
1365,20170816,16.770991175532266
1366,20170817,17.179551695189218
1367,20170818,17.60770192577974
1368,20170821,17.86042754938841
1369,20170822,19.39869131260162
1370,20170823,21.484592119825194
1371,20170824,23.038599121063555
1372,20170825,28.36774543891363
1373,20170828,24.694678275144888
1374,20170829,25.07680809972666
1375,20170830,25.074058593300904
1376,20170831,20.23846541535049
1377,20170901,19.554385598854132
1378,20170904,16.94070885802272
1379,20170905,18.782785185303176
1380,20170906,18.746537419855883
1381,20170907,18.504321589936275
1382,20170908,18.131445726928185
1383,20170911,17.626945800283448
1384,20170912,18.945519492465117
1385,20170913,22.92647112100031
1386,20170914,27.717620810591455
1387,20170915,21.37026728089531
1388,20170918,17.086027137149614
1389,20170919,19.289660611021358
1390,20170920,20.36772757453369
1391,20170921,21.81983922705474
1392,20170922,21.65700747401162
1393,20170925,24.977488581602135
1394,20170926,22.607124389608614
1395,20170927,23.631945540565813
1396,20170928,27.215153055112477
1397,20170929,22.28784089357059
1398,20171009,19.05222883569089
1399,20171010,18.155008659675733
1400,20171011,19.079230234210044
1401,20171012,17.448497167906552
1402,20171013,17.148566471250767
1403,20171016,16.685653121506355
1404,20171017,17.250026388963036
1405,20171018,17.280106486451512
1406,20171019,20.881888479653927
1407,20171020,25.54561757339528
1408,20171023,26.353522169211466
1409,20171024,24.51252457084749
1410,20171025,28.892159074967246
1411,20171026,30.348325680745212
1412,20171027,37.62732364837653
1413,20171030,28.99780244386006
1414,20171031,34.27642458444957
1415,20171101,40.227643102338945
1416,20171102,42.179403484422025
1417,20171103,49.934758249467095
1418,20171106,66.77304269265932
1419,20171107,46.20209395057094
1420,20171108,41.42503269389968
1421,20171109,43.61451042771998
1422,20171110,48.794135908517724
1423,20171113,50.14738837667769
1424,20171114,51.69102933898738
1425,20171115,48.82679956140316
1426,20171116,68.06386708103815
1427,20171117,61.49167561581613
1428,20171120,65.18577633054257
1429,20171121,60.64395597707315
1430,20171122,45.221989623544346
1431,20171123,45.520303803667744
1432,20171124,41.527028239534246
1433,20171127,34.808449918370016
1434,20171128,48.26672441403396
1435,20171129,60.48065216916639
1436,20171130,53.607727301911865
1437,20171201,43.514296389393685
1438,20171204,47.38794805470903
1439,20171205,44.390555988782594
1440,20171206,35.59975901362681
1441,20171207,27.799225711357213
1442,20171208,30.638753823172305
1443,20171211,33.75186701495808
1444,20171212,30.995914632673433
1445,20171213,30.221722650817288
1446,20171214,30.94877219004188
1447,20171215,24.288503221620406
1448,20171218,27.329684202411
1449,20171219,29.38417979613159
1450,20171220,31.12717800799102
1451,20171221,33.158067425938796
1452,20171222,32.325607026102126
1453,20171225,29.924968250610384
1454,20171226,28.99855221463081
1455,20171227,24.497871767953605
1456,20171228,36.66691295035383
1457,20171229,27.4411620711499
1458,20180102,40.60131699529623
1459,20180103,42.84960328512187
1460,20180104,49.63280931994562
1461,20180105,50.0759326249858
1462,20180108,54.4947051953396
1463,20180109,54.38589974645075
1464,20180110,47.00553773513762
1465,20180111,38.01205939083071
1466,20180112,41.58253339751855
1467,20180115,48.07739032152241
1468,20180116,48.66750346909141
1469,20180117,43.49218560983508
1470,20180118,57.60259061445525
1471,20180119,64.61561498808183
1472,20180122,45.85865690440103
1473,20180123,50.99617470299192
1474,20180124,51.75929573710866
1475,20180125,55.49865151649093
1476,20180126,48.86773864033142
1477,20180129,57.48696917315271
1478,20180130,44.475560671206296
1479,20180131,45.582276103133246
1480,20180201,49.05623843192035
1481,20180202,54.44438772406737
1482,20180205,74.53402407223518
1483,20180206,75.94347466111904
1484,20180207,48.67897043552083
1485,20180208,36.92386558522091
1486,20180209,28.512410045843747
1487,20180212,27.277569781535522
1488,20180213,28.545457368084566
1489,20180214,31.591260694635256
1490,20180222,40.5608149845352
1491,20180223,39.09979551550323
1492,20180226,42.973542714698844
1493,20180227,28.19228383309384
1494,20180228,26.632930211838868
1495,20180301,29.108050466844162
1496,20180302,26.436732436387807
1497,20180305,20.860851593823508
1498,20180306,22.55189012488023
1499,20180307,19.00961039924583
1500,20180308,22.378348194829815
1501,20180309,23.189164386760822
1502,20180312,30.034888750955812
1503,20180313,32.72140877544204
1504,20180314,39.058849764485956
1505,20180315,42.68171072530855
1506,20180316,43.016026196588584
1507,20180319,46.3041041733002
1508,20180320,49.16853001496126
1509,20180321,40.99809901634222
1510,20180322,40.06080478291403
1511,20180323,42.415959862405145
1512,20180326,62.26390649286601
1513,20180327,60.12532738904578
1514,20180328,44.95249502408858
1515,20180329,39.529799310055424
1516,20180330,60.21648170049133
1517,20180402,50.2712922226778
1518,20180403,53.41445513097599
1519,20180404,42.231210650507116
1520,20180409,37.02648414497786
1521,20180410,35.910458822813325
1522,20180411,38.63853020395905
1523,20180412,44.13278055378904
1524,20180413,28.81792763778609
1525,20180416,41.650818141759856
1526,20180417,35.84120644401912
1527,20180418,40.59493780103735
1528,20180419,38.89157125575419
1529,20180420,42.8788777622919
1530,20180423,42.66308662337998
1531,20180424,39.47398240911197
1532,20180425,48.009309100815315
1533,20180426,35.672499299745915
1534,20180427,35.503964960466945
1535,20180502,29.93064919656092
1536,20180503,30.810978832266734
1537,20180504,32.66696083445838
1538,20180507,33.62479621950502
1539,20180508,32.29997265846663
1540,20180509,32.70828931595027
1541,20180510,47.585445824429996
1542,20180511,36.19359117138173
1543,20180514,33.563472048730716
1544,20180515,38.79172863534592
1545,20180516,39.50049534809939
1546,20180517,34.39535999147387
1547,20180518,38.51202833075388
1548,20180521,35.921068133664235
1549,20180522,47.148415137862
1550,20180523,46.70514151895735
1551,20180524,46.34117883859965
1552,20180525,57.13134800812564
1553,20180528,71.98994195239545
1554,20180529,46.433164805640146
1555,20180530,55.316793483573
1556,20180531,54.740616016621445
1557,20180601,44.4042018837433
1558,20180604,43.252527834845885
1559,20180605,61.20339700860105
1560,20180606,75.0635122215395
1561,20180607,69.07579143626256
1562,20180608,67.59556281370496
1563,20180611,50.08264689918904
1564,20180612,51.71762459496641
1565,20180613,44.2368994838668
1566,20180614,41.4787320813189
1567,20180615,37.538818650607595
1568,20180619,36.932085876034606
1569,20180620,46.38378800851129
1570,20180621,43.23044340682734
1571,20180622,46.56755638972775
1572,20180625,52.31807238376071
1573,20180626,57.41095188941122
1574,20180627,49.34740777514804
1575,20180628,37.116650353910615
1576,20180629,41.87160877344113
1577,20180702,45.349831367668514
1578,20180703,36.816564833783566
1579,20180704,29.698877112499847
1580,20180705,23.684134009210737
1581,20180706,24.886445592633933
1582,20180709,25.23802653337803
1583,20180710,26.803481755299345
1584,20180711,26.239114204175713
1585,20180712,28.29334820836169
1586,20180713,28.656482760942776
1587,20180716,29.276920237253915
1588,20180717,26.943087680920776
1589,20180718,29.010044595270905
1590,20180719,25.453988354181657
1591,20180720,20.82143922955923
1592,20180723,18.689853058285415
1593,20180724,28.39121036967647
1594,20180725,26.08347332989691
1595,20180726,21.06257593128216
1596,20180727,23.075962234048546
1597,20180730,29.278016127824078
1598,20180731,23.869475420046136
1599,20180801,21.075354484974067
1600,20180802,26.590340943127202
1601,20180803,22.202739504017167
1602,20180806,23.332876460694898
1603,20180807,28.235504058711705
1604,20180808,29.5542392827537
1605,20180809,26.007497424023178
1606,20180810,28.33126110491085
1607,20180813,28.59020189285029
1608,20180814,28.868519763914037
1609,20180815,21.75762651925091
1610,20180816,23.89235873365207
1611,20180817,19.64155572344852
1612,20180820,22.357911736769317
1613,20180821,23.416365310355623
1614,20180822,23.267517509802133
1615,20180823,22.653454738972012
1616,20180824,23.87748510407624
1617,20180827,24.92726380860028
1618,20180828,24.49211203789457
1619,20180829,24.632727492395958
1620,20180830,21.070059477307325
1621,20180831,20.740699517138015
1622,20180903,19.53370594357205
1623,20180904,20.457878164678206
1624,20180905,18.601184916824337
1625,20180906,17.38292580184897
1626,20180907,18.570912318807295
1627,20180910,17.442717359634187
1628,20180911,20.69222931213153
1629,20180912,19.079339419608402
1630,20180913,21.710521920548675
1631,20180914,19.417292059068078
1632,20180917,20.16448505551608
1633,20180918,20.596408252228194
1634,20180919,20.323448385533652
1635,20180920,20.610966952861414
1636,20180921,26.25676986706592
1637,20180925,21.261758718344545
1638,20180926,20.968381206478234
1639,20180927,21.053164253238933
1640,20180928,19.72292359765536
1641,20181008,19.525856800674994
1642,20181009,18.167122530987406
1643,20181010,20.870674306410386
1644,20181011,17.896217564508454
1645,20181012,23.196125402959435
1646,20181015,23.38428908657567
1647,20181016,24.47666145658459
1648,20181017,22.263546471773147
1649,20181018,19.191166559892316
1650,20181019,22.212541924089074
1651,20181022,19.800173168661317
1652,20181023,16.774026253038752
1653,20181024,19.395203499701797
1654,20181025,19.998967765543938
